New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Person - place of residence - as written,Role - role in entry,Role - associated place - as written,Role - associated place - type,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 6,Status 6 - place - as written,Status 6 - place - type
100 r - 100 r,1245,,Sir,Henry,de,Barton',,,,addressee,,,,canon,Ebor',,cathedral church,licensee,"Fenton, York diocese",chapel within his house,,,,,,,,,,,,
100 r - 100 r,1246,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1246,,Dame,Katherine,de,Pole,,,,addressee,,,,parishioner,,,,licensee,Hull,oratory in her house,,,,,,,,,,,,
100 r - 100 r,1247,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1247,,,William,de,Brantyngham,,,,addressee,,,,clerk,York,,diocese,recipient,,,,,,,,,,,,,,
100 r - 100 r,1248,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1248,,,John,de,Ecton'/Etton',,,,addressee,,,,recipient,,,,,,,,,,,,,,,,,,
100 r - 100 r,1249,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1249,,Sir,Henry,,Gray,,,,addressee,,,knight,parishioner,,,,licensee,Radcleve,chapel or oratory within house,,,,,,,,,,,,
100 r - 100 r,1250,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1250,,Sir,Marmaduke,,Constabell,,,,addressee,,,,licensee,Fleynburgh,,"manor, oratory in",licensee,Holmespaldingmore,"manor, oratory in",licensee,Nafreton,"manor, oratory in",,,,,,,,,
100 r - 100 r,1250,,Lady,,,Constabell,,,,addressee,,,knight's wife,licensee,Fleynburgh,,"manor, oratory in",licensee,Holmespaldingmore,"manor, oratory in",licensee,Nafreton,"manor, oratory in",,,,,,,,,
100 r - 100 r,1250,,,John,,Constabell,,,,promoter,,,,,,,,,,,,,,,,,,,,,,
100 r - 100 r,1251,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1251,,,John,,Constabell,,,,addressee,,,,licensee,Holmespaldyngmore,,"house, oratory in",,,,,,,,,,,,,,,
100 r - 100 r,1252,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1252,,Sir,John,,Mewes,,,,addressee,,,knight,licensee,,,,,,,,,,,,,,,,,,
100 r - 100 r,1253,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1253,,Sir,William,,Auncell,,,,addressee,,,chaplain,licensee,"Newerk, Apiltongate, Sancti Salvatoris",,chapel,,,,,,,,,,,,,,,
100 r - 100 r,1254,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1254,,,William,,Emle/Elmele,,,,addressee,,,,parishioner,,,,licensee,Wellowe,oratory within house,,,,,,,,,,,,
100 r - 100 r,1254,,,Robert,de,Morton',,,,promoter,,,scutiferi/squire,,,,,,,,,,,,,,,,,,,
100 r - 100 r,1255,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1255,,,John,,Gayteforde,,,,addressee,,,,licensee,Gayteford,,"house, oratory in",,,,,,,,,,,,,,,
100 r - 100 r,1255,,,Robert,,Morton,,,,promoter,,,,,,,,,,,,,,,,,,,,,,
100 r - 100 r,1256,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1256,,,John,,Lannu',,,,addressee,,,,licensee,Lanu',,oratory at,,,,,,,,,,,,,,,
100 r - 100 r,1257,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1257,,Dame,Pernel/Petronilla,de,Synythwate/Syvythwate,,,,addressee,,,,parishioner,,,,licensee,Wilowby,oratory within manor,,,,,,,,,,,,
100 r - 100 r,1258,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 r,1258,,Dame,Joan,de,Fournivall,,,,addressee,,,,licensee,Ebor' dioc',,all oratories,,,,,,,,,,,,,,,
100 r - 100 r,1258,,Lord,,de,Fournivall,,,,addressee's late husband,,,,,,,,,,,,,,,,,,,,,,
100 r - 100 v,1259,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 r - 100 v,1259,,,Robert,de,Swyne,,,,addressee,,,clerk,,,,,,,,,,,,,,,,,,,
100 r - 100 v,1259,,Sir,Stephen,,,,,,letter recited,,,,cardinal priest,Sancti Eusebij,,titular church,,,,,,,,,,,,,,,
100 v - 100 v,1260,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1260,,,Roger,de,Biry,,,,licensee,,,,owner of oratory,[York] dioc',,oratory,,,,,,,,,,,,,,,
100 v - 100 v,1261,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1261,,Sir,William,de,Aynderby,,,,licensee,,,,owner of oratory,Anderby,,oratory within house,,,,,,,,,,,,,,,
100 v - 100 v,1262,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1262,,Sir,Henry,,Scrop',,,,licensee,,,knight,parishioner,,,,licensee,Sadb'i,chapel within house,,,,,,,,,,,,
100 v - 100 v,1263,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1263,,,Edmund,,Wastenays,,,,licensee,,,,parishioner,,,,owner of oratory,Thorngumbalde,oratory within house,,,,,,,,,,,,
100 v - 100 v,1264,,,William,de,Nesfeld,,,de Ebor',licensee,,,,owner of oratory,Ebor' dioc',,all his houses,,,,,,,,,,,,,,,
100 v - 100 v,1265,,Sir,Thomas,de,Metham,,,,licensee,,,,owner of oratory,Ebor' dioc',,all his manors,,,,,,,,,,,,,,,
100 v - 100 v,1266,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1266,,,Walter,,Frost,,,de Kyngeston' super Hull,addressee,,,,bailiff,Beverl',,,,,,,,,,,,,,,,,
100 v - 100 v,1267,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1267,,,William,,Cook,,,de Kexby,appointee,,,,forester,Kangwath/Langwath,,wood,,,,,,,,,,,,,,,
100 v - 100 v,1268,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1268,,,Walter,,Frost,,,de Hull,appointee,,,,steward,Beverlay,,manor and lordship,,,,,,,,,,,,,,,
100 v - 100 v,1269,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
100 v - 100 v,1269,,,Nicholas,de,Skelton',,,de Ebor',pensioner,,,,"cook, of archbishop",,,,,,,,,,,,,,,,,,
100A r - 100A r,1272,,,John,de,Hellewell,,,,testator,,,,canon,Ebor',,cathedral church,,,,,,,,,,,,,,,
100A r - 100A r,1273,,,John,de,Hellewell,,,,testator,,,,canon,Ebor',,cathedral church,,,,,,,,,,,,,,,
100A r - 100A r,1274,,,John,de,Hellewell,,,,testator,,,,canon,Ebor',,cathedral church,,,,,,,,,,,,,,,
100A r - 100A r,1278,,,Nicholas,de,Scardburgh,,,,testator,,,,,,,,,,,,,,,,,,,,,,
100A v - 100A v,1284,,,Thomas,de,Helygthby,,,,testator,,,,rector,Wykerslay,,church,,,,,,,,,,,,,,,
101 r - 101 r,1285,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
101 r - 101 r,1285,,,,,,,,,addressee,,,,abbot,Whitteby,,abbey,,,,,,,,,,,,,,,
101 r - 101 r,1285,,,,,,,,,addressees,,,,convent,Whitteby,,abbey,,,,,,,,,,,,,,,
101 r - 101 r,1285,,,Hugh,de,Branketre,,,,pensioner,,,,archbishop's clerk,,,,,,,,,,,,,,,,,,
101 r - 101 r,1286,,,Nicholas,del,Werk',,,,recipient of letters of quest,,,,alms collector,Ebor',,diocese,,,,,,,,,,,,,,,
101 r - 101 r,1287,,,Thomas,de,Etton',,,,appointee,,,donzel,forester,,,,,,,,,,,,,,,,,,
101 r - 101 r,1288,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
101 r - 101 r,1288,,Master,John,de,Waltham,,,,executor,,,,canon,Ebor',,church,,,,,,,,,,,,,,,
101 r - 101 r,1288,,Master,John,de,Thoresby,,,,executor,,,,canon,Ebor',,church,,,,,,,,,,,,,,,
101 r - 101 r,1288,,Sir,Henry,de,Barton,,,,executor,,,,canon,Ebor',,church,,,,,,,,,,,,,,,
101 r - 101 r,1288,,,John,de,Thoresby,,,,testator,,,,former archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
101 r - 101 r,1289,,,Alexander,,,,,,sender,,,,archbishop,,,,steward,,,,,,,,,,,,,,
101 r - 101 r,1289,,,Thomas,,Godewyn,,,,appointee,,,,steward,Lincolnshire,,archbishop's possessions,,Leicestershire,archbishop's possessions,,,,,,,,,,,,
101 r - 101 v,1290,,,Simon,,[Sudbury],,,,sender,,,,archbishop,Cantuar',,archdiocese,,,,,,,,,,,,,,,
101 r - 101 v,1290,,,Alexander,,[Neville],,,,addressee,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
101 r - 101 v,1290,,,Gregory XI,,,,,,sender,,,,pope,,,,,,,,,,,,,,,,,,
101 r - 101 v,1290,,,Simon,,[Sudbury],,,,addressee,,,,archbishop,Cantuar',,archdiocese,,,,,,,,,,,,,,,
101 r - 101 v,1290,,,Edward III,,,,,,mentioned,,,,king,Anglie,,country,,,,,,,,,,,,,,,
101 r - 101 v,1290,,,Charles,,,,,,mentioned,,,,king,Francor',,country,,,,,,,,,,,,,,,
101 r - 101 v,1290,,Sir,Thomas,,Chalener,,,,witness,,,clerk and of archbishop's household,rector,Hengeham,,"parish, London diocese",,,,,,,,,,,,,,,
101 r - 101 v,1290,,Sir,John,,Whitechirch,,,,witness,,,clerk and of archbishop's household,rector,Foxherde,,"parish, London diocese",,,,,,,,,,,,,,,
101 r - 101 v,1290,,,John,,Ware,,,,witness,,,notary public,clerk,London,,diocese,,,,,,,,,,,,,,,
101 v - 101 v,1291,,,John,de,"Barton iuxta Humbr', Lincoln diocese",,,,notary public,,,clerk,"scribe, of archbishop of Canterbury",,,,,,,,,,,,,,,,,,
101 v - 101 v,1292,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
101 v - 101 v,1292,,,,,,,,,addressee,,,,official of court,Ebor',,,,,,,,,,,,,,,,,
101 v - 101 v,1292,,,Edward III,,,,,,sender,,,,king,,,,,,,,,,,,,,,,,,
101 v - 101 v,1292,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
101 v - 101 v,1293,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
101 v - 101 v,1293,,,,,,,,,addressees,,,,chapter,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,
101 v - 101 v,1293,,,,,,,,,addressee,,,,dean,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,
101 v - 101 v,1294,,,Alexander,,,,,,sender,,,,archbishop,,,,chancellor,,,,,,,,,,,,,,
101 v - 101 v,1294,,Brother,Alexander,,,,,,appointee,,,,prior,Hextildesham,,,,Hextildesham,archbishop's liberties,,,,,,,,,,,,
102 r - 102 r,1295,,,Arnald,,Garneri,licentiate in laws,,,sender,,,,Papal nuncio,,,,,,,,,,,,,,,,,,
102 r - 102 r,1295,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1295,,Sir,John,,Waltham,,,,collector,,,,sacristan or warden,"beate marie & sanctorum angelorum, Ebor'",,chapel,,,,,,,,,,,,,,,
102 r - 102 r,1295,,Sir,Hugh,,Peregrini,,,,,,,,,,,,,,,,,,,,,,,,,,
102 r - 102 r,1296,,,Arnold,,Gerneri,licentiate in laws,,,sender,,,,Papal nuncio,,,,,,,,,,,,,,,,,,
102 r - 102 r,1296,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1296,,,Roger,,Pikeryng,,,,,,,,provisor,Welwyk,,parish church,,,,,,,,,,,,,,,
102 r - 102 r,1296,,Master,John,de,Thoresby,,,,,,,,,,,,,,,,,,,,,,,,,,
102 r - 102 r,1297,,,Peter,,,,,,sender,,,,archbishop,Aralaten',,,,,,,,,,,,,,,,,
102 r - 102 r,1297,,,Alexander,,,,,,informant,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
102 r - 102 r,1298,,,William (Guillermus),,,,,,sender,,,,cardinal priest,sancti stephani in celiomonte,,titular church,,,,,,,,,,,,,,,
102 r - 102 r,1298,,,Alexander,,,,,,informant,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1299,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1299,,,John,,Burwell,,,,addressee,,,,,,,,,,,,,,,,,,,,,,
102 r - 102 r,1300,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1300,,,Roger,de,Castelford,,,,addressee,,,clerk,,,,,,,,,,,,,,,,,,,
102 r - 102 r,1300,,,Stephen,,,,,,sender,,,,cardinal priest,Sancti Eusebii,,titular church,,,,,,,,,,,,,,,
102 r - 102 r,1300,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1301,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
102 r - 102 r,1301,,,John,,,,,,addressee,,,,scholar,York,,diocese,,,,,,,,,,,,,,,
102 r - 102 r,1301,,,John,,,,,,sender,,,,cardinal priest,Sanctorum Nerei & Achillei,,titular church,,,,,,,,,,,,,,,
102 r - 102 r,1301,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
102 v - 102 v,1302,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
102 v - 102 v,1302,,,,,,,,,addressee,,,,official of court,Ebor',,,,,,,,,,,,,,,,,
102 v - 102 v,1302,,,Edward III,,,,,,sender,,,,king,,,,,,,,,,,,,,,,,,
102 v - 102 v,1302,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
102 v - 102 v,1303,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
102 v - 102 v,1303,,Master,Thomas,de,Karlele,bachelor of Theology,,,addressee,,,,provost,le Queneshall Oxon,,college,,,,,,,,,,,,,,,
102 v - 102 v,1303,,Master,Henry,de,Whittefeld,,,,former provost,,,,provost,le Queneshall Oxon,,college,,,,,,,,,,,,,,,
102 v - 102 v,1304,,,Peter,,,,,,sender,,,papal chamberlain,archbishop,Aralaten',,archdiocese,,,,,,,,,,,,,,,
102 v - 102 v,1304,,,Alexander,,,,,,informant,,,,archbishop,,,,,,,,,,,,,,,,,,
103 r - 103 r,1305,,,Peter,,,,,,sender,,,papal chamberlain,archbishop,Arelaten',,archdiocese,,,,,,,,,,,,,,,
103 r - 103 r,1305,,,Alexander,,,,,,taxpayer,,,,archbishop,,,,,,,,,,,,,,,,,,
103 r - 103 r,1305,,,Hugh,,Arlam,,,,"proctor, of archbishop of York",,,,,,,,,,,,,,,,,,,,,,
103 r - 103 r,1305,,Master,Peter,de,Stapilton',,,,"proctor, of archbishop of York",,,,,,,,,,,,,,,,,,,,,,
103 r - 103 r,1306,,,Guillermus,,,,,,sender,,,chamberlain of college of cardinals?,cardinal priest,Sancti Stephani in ?Celiomonte,,titular church,,,,,,,,,,,,,,,
103 r - 103 r,1306,,,Alexander,,,,,,taxpayer,,,,archbishop,,,,,,,,,,,,,,,,,,
103 r - 103 r,1306,,Master,Hugh,de,Arlam,,,,,,,,,,,,,,,,,,,,,,,,,,
103 r - 103 r,1306,,,Bernard,de,Rubeis,,,,,,,,,,,,,,,,,,,,,,,,,,
103 r - 103 r,1307,,,Peter,,,,,,sender,,,papal chamberlain,archbishop,Arelaten',,archdiocese,,,,,,,,,,,,,,,
103 r - 103 r,1307,,,Alexander,,,,,,taxpayer,,,,archbishop,,,,,,,,,,,,,,,,,,
103 r - 103 r,1307,,Sir,Hugh,de,Harleham,,,,"proctor, of archbishop of York",,,,,,,,,,,,,,,,,,,,,,
103 r - 103 r,1308,,,Guillermus,,,,,,sender,,,chamberlain of college of cardinals?,cardinal priest,sancti stephani in Celimonte,,titular church,,,,,,,,,,,,,,,
103 r - 103 r,1308,,,Alexander,,,,,,taxpayer,,,,archbishop,,,,,,,,,,,,,,,,,,
103 r - 103 r,1308,,Sir,Hugh,de,Halham,,,,"proctor, of archbishop of York",,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1309,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
103 v - 103 v,1309,,Master,Geoffrey,,Lescrop,,,,addressee,,,,canon,beati petri Ebor',,church,,,,,,,,,,,,,,,
103 v - 103 v,1309,,Master,Richard,de,Wynwyk,,,,addressee,,,,canon,beati petri Ebor',,church,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,Alexander,,,,,,grantor,,,,archbishop,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,Robert,del,Brewhous,,,,grantee,,,,grantee,Penyland,,property,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,Alice,,filie John Clerk,,,,former grantee,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,John,,Clerk,,,,father of former grantee,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,John,de,Cawode,,,,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,John,,Boys,,,,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,John,,Coke,,,de Cawode,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,William,,Rome,,,,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1310,,,Richard,de,Cawode,,,,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,Alexander,,,,,,grantor,,,,archbishop,,,,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,John,de,Eston,,,,grantee,,,archbishop's clerk,grantee,in villa de Beverlaco,,property,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,John,de,Scorby,,,,property holder,,,,property holder,in Senctmarigate?,,street,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,William,de,Lokynton,,,,former property holder,,,,former property holder,in Senctmarigate?,,street,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,Stephen,del,Shawe,,,,property holder,,,,property holder,in vico iuxta ecclesiam beate marie,,street,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,Robert,de,Burton',,,,former property holder,,,,former property holder,in vico iuxta ecclesiam beate marie,,street,,,,,,,,,,,,,,,
103 v - 103 v,1311,,Master,John,de,Clifford,,,,witness,,,,treasurer,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,
103 v - 103 v,1311,,Sir,Henry,de,Barton',,,,witness,,,,canon,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,
103 v - 103 v,1311,,Sir,John,de,Middelton',,,,witness,,,clerk,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,William,de,Neuport,,,,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,Adam,de,Ceppendale,,,de Beverlaco,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1311,,,Roger,de,Scoreburgh,,,,witness,,,,,,,,,,,,,,,,,,,,,,
103 v - 103 v,1312,,,Alexander,,,,,,sender,,,,archbishop,,,,bailiff,,,,,,,,,,,,,,
103 v - 103 v,1312,,,Robert,de,Ledes,,,,appointee,,,,bailiff,Ripon',,archbishop's liberties,,Shirburn',archbishop's liberties,steward,Ripon',archbishop's liberties,steward,Shirburn',archbishop's liberties,,,,,,
103 v - 103 v,1313,,,Alexander,,,,,,sender,,,,archbishop,,,,steward,,,,,,,,,,,,,,
103 v - 103 v,1313,,,John,de,Redenes,,,,appointee,,,,bailiff,Beverlac',,archbishop's lordship and liberties,,Beverlac',archbishop's lordship and liberties,,,,,,,,,,,,
104 r - 104 r,1314,,,Richard II,,,,,,sender,,,,king,,,,,,,,,,,,,,,,,,
104 r - 104 r,1314,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
104 r - 104 r,1315,,,Richard II,,,,,,sender,,,,king,,,,,,,,,,,,,,,,,,
104 r - 104 r,1315,,,Alexander,,,,,,addressee,,,,archbishop,,,,,,,,,,,,,,,,,,
104 r - 104 r,1316,,,[Richard II],,,,,,new king,,,,king,,,,,,,,,,,,,,,,,,
104 r - 104 r,1316,,Sir,N,de,Bello Campo,,,,attendant,,,,earl,Bedfordie,,,,,,,,,,,,,,,,,
104 r - 104 r,1316,,,,,,,,,attendant,,,,earl,Huntyndon',,,,,,,,,,,,,,,,,
104 r - 104 r,1316,,,,,,,,,attendant,,,,earl,War',,,,,,,,,,,,,,,,,
104 r - 104 v,1317,,,[Richard II],,,,,,new king,,,,king,,,,,,,,,,,,,,,,,,
104 r - 104 v,1317,,,Edward??,,,,,,king,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1318,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
104 v - 104 v,1318,,,Elias,de,Hertforth/Hertford,,,,appointee,,,archbishop's ?servant,stockman,,,,,,,,,,,,,,,,,,
104 v - 104 v,1318,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
104 v - 104 v,1319,,,William,de,Piketon',,,,appointee,,,archbishop's servant,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1319,,,Richard,de,Multon',,,,appointee,,,archbishop's servant,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1320,,,Alexander,,,,,,sender,,,,archbishop,,,,keeper,,,,,,,,,,,,,,
104 v - 104 v,1320,,,Thomas,de,Blenkensop,,,,appointee,,,,bailiff,Hextildesham,,archbishop's lordship and liberties,,Hextildesham,archbishop's lordship and liberties,,,,,,,,,,,,
104 v - 104 v,1321,,,Alexander,,,,,,sender,,,,archbishop,,,,steward,,,,,,,,,,,,,,
104 v - 104 v,1321,,,John,de,Topclif,,,de Ripon',appointee,,,,bailiff,Ripon',,archbishop's lordship and liberties,,Ripon',archbishop's lordship and liberties,,,,,,,,,,,,
104 v - 104 v,1322,,,Alexander,,,,,,lord,,,,archbishop,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,Robert,de,Leedes,,,,presiding,,,,steward,Ripon',,archbishop's liberties,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Topcliff,,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Haukeswyk,,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,Walter,de,Leedes,,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Tanfeld,,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,Richard,,Sunnyg',,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,William,de,Scotton,,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,,Willimot,,,,present,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,Sir,John,de,Alhalougat,,,,feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Clynt,,senior,,feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Wakfeld,,,,feoffee,,,chaplain,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Shirwoin Ripshire,,,,former feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,John,de,Fencotes,,,,new feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1322,,,Matilda,,,,wife of new feoffee,,new feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1323,,,John,de,Alhalugat,,et aliis,,feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1323,,,Katherine,de,Shirewode,,,,former feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1323,,,John,de,Fencotes,,,,new feoffee,,,,,,,,,,,,,,,,,,,,,,
104 v - 104 v,1323,,,Matilda,,,,wife of new feoffee,,new feoffee,,,,,,,,,,,,,,,,,,,,,,
105 r - 105 r,1324,,,Honorius,,,,,,sender,,,,pope,,,,,,,,,,,,,,,,,,
105 r - 105 r,1324,,,,,,,,,addressee,,,,rector/warden,hospital sancti johannis baptiste de Ripon',,hospital,,,,,,,,,,,,,,,
105 r - 105 r,1324,,,,,,,,,addressees,,,,brothers,hospital sancti johannis baptiste de Ripon',,hospital,,,,,,,,,,,,,,,
105 r - 105 r,1325,,,Gregory XI,,,,,,sender,,,,pope,,,,,,,,,,,,,,,,,,
