New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type
43 r - 43 r,603,,1382-11-02,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
43 v - 43 v,604,,1382-08-09,,,,,Document date,Kildall,,,,,,,,,,,,,,
43 v - 43 v,605,,1382-11-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
43 v - 43 v,606,,1382-11-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
43 v - 43 v,607,,1382-11-22,,,,,Document date,Cawod,,,,,,,,,,,,,,
43 v - 43 v,608,,1382-11-22,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
43 v - 43 v,609,,1383-01-29,,,,,Document date,Cawod,,,,,,,,,,,,,,
43 v - 43 v,610,,1383-01-29,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
43 v - 43 v,611,,1382-07-22,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
43 v - 43 v,612,,[1383-10-17],,,,,Event date,in chapel within archbishop's manor of ***,archbishop's manor,Entry relates to ceremony and mass the following day,,,,,,,,,,,,
43 v - 43 v,613,,1383-10-17,,,,,Memorandum date,,,Entry relates to mass and ceremony on the preceding day,[1383]-10-18,,,,,Event date,,,,,,
43 v - 43 v,614,,1384-01-07,,,,,Document date,Cawode,,,,,,,,,,,,,,
43 v - 43 v,615,,1384-01-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
44 r - 44 r,616,,1384-05-04,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,
44 r - 44 r,617,,1384-05-04,,,,,Memorandum date,Cawod,archbishop's manor,,,,,,,,,,,,,
44 r - 44 r,618,,1385-09-10,,,,,Document date,Beverlac',archbishop's manor,Year appears to be 1385,,,,,,,,,,,,
44 r - 44 r,619,,1385-09-10,,,,,Memorandum date,Beverlac',archbishop's manor,Year appears to be 1385,,,,,,,,,,,,
44 r - 44 r,620,,1387-05-06,,,,,Document date,Novum Burgum,chapter house,,,,,,,,,,,,,
44 v - 44 v,621,,[0000-10-04],,,,,Document date,Sandhoton',,Recited document dated in November 1386,1386-11-25,,,,,Document date,Cawode,,,,,
45 r - 45 r,622,a,[0000-10-04],,,,,Document date,Sandhoton',,Recited document dated in November 1386,1386-11-25,,,,,Document date,Cawode,,,,,
46 r - 46 r,623,,1384-04-25,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,
46 r - 46 r,624,a,1384-04-25,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,
47 r - 47 v,625,,1379-03-27,,,,,Document date,Cawode,,,1376-06-26,,,,,Document date,villa nova, avinion' dioc',,,,
47 v - 48 r,626,,[1379]-04-13,,,,,Document date,in loco hospital',"[Carthusian house, Hull]",,,,,,,,,,,,,
48 r - 49 r,627,,1380-7-31,,,,,Document date,Cawode,archbishop's manor,,1380-06-15,,,,,Document date,"Rome, at St Peter's",,,,,
49 r - 49 v,628,,1381-05-18,,,,,Document date,Beverlaico,archbishop's manor,,,,,,,,,,,,,
50 r - 50 r,629,,1381-05-06,,,,,Document date,Beverlaci,archbishop's manor,,,,,,,,,,,,,
50 r - 50 r,630,,1381-05-09,,,,,Document date,Sculcotes,,,,,,,,,,,,,,
50 v - 50 v,631,,1381-07-10,,,,,Document date,Beati Johannis Beverlac',collegiate church,,,,,,,,,,,,,
51 r - 51 r,632,,1381-07-13,,,,,Document date,Beverlaic',archbishop's manor,,,,,,,,,,,,,
51 v - 51 v,633,,1381-10-04,,,,,Document date,Ebor',,,,,,,,,,,,,,
51 A v - 51 A v,634,b,1386-00-00,,,,,Memorandum date,,,Day and month are blank,,,,,,,,,,,,
52 r - 52 r,635,,1374-10-14,,,,,Document date,London',,,,,,,,,,,,,,
52 r - 52 r,636,,[1374-10-14],,,,,Note date,,,,,,,,,,,,,,,
52 r - 52 r,637,,1374-10-28,,,,,Document date,London',,,,,,,,,,,,,,
52 r - 52 r,638,,1374-11-02,,,,,Document date,Clavering,,,,,,,,,,,,,,
52 r - 52 r,639,,[1374-11-02],,,,,Note date,,,,,,,,,,,,,,,
52 r - 52 r,640,,1374-11-15,,,,,Document date,Boroughbrig',,,,,,,,,,,,,,
52 r - 52 r,641,,[1374-11-15],,,,,Note date,,,,,,,,,,,,,,,
52 r - 52 r,642,,1374-12-04,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 r - 52 r,643,,1374-12-04,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 r - 52 r,644,,1374-12-08,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 r - 52 r,645,,1374-12-08,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 r - 52 r,646,,1374-12-19,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 v - 52 v,647,,1375-01-26,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 v - 52 v,648,,1375-01-26,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
52 v - 52 v,649,,1375-02-09,,,,,Document date,Cawode,,,,,,,,,,,,,,
52 v - 52 v,650,,1375-02-11,,,,,Document date,Cawode,,,,,,,,,,,,,,
52 v - 52 v,651,,1375-02-11,,,,,Document date,Cawode,,,,,,,,,,,,,,
52 v - 52 v,652,,1375-03-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
52 v - 52 v,653,,1374-11-14,,,,,Memorandum date,Suthwell,,,,,,,,,,,,,,
52 v - 52 v,654,,[1374]-10-01,,,,,Memorandum date,Claveryng,,Year as in entry above (no. 653),,,,,,,,,,,,
52 v - 52 v,655,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,
52 v - 52 v,656,,1375-04-18,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
53 r - 53 r,657,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,
53 r - 53 r,658,,1375-04-13,,,,,Document date,Cawod,,,,,,,,,,,,,,
53 r - 53 r,659,,1382-05-25,,,,,Document date,Cawode,,,,,,,,,,,,,,
53 r - 53 r,660,,1382-05-25,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
53 r - 53 v,661,,1374-03-22,,,,,Document date,Ebor',,,,,,,,,,,,,,
53 v - 53 v,662,,1375-06-05,,,,,Document date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,663,,1375-06-05,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,664,,1375-09-07,,,,,Document date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,665,,1375-09-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,666,,1375-09-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,667,,1375-09-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,668,,1375-09-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
53 v - 53 v,669,,1375-09-26,,,,,Document date,Cawod,,,,,,,,,,,,,,
53 v - 53 v,670,,1375-09-26,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
53 v - 53 v,671,,1374-11-16,,,,,Document date,Howton',,,,,,,,,,,,,,
53 v - 53 v,672,,1375-10-03,,,,,Memorandum date,,,,,,,,,,,,,,,
54 r - 54 r,673,,1375-10-07,,,,,Memorandum date,Beati Johannis Beverl',collegiate church,,,,,,,,,,,,,
54 r - 54 r,674,,1375-06-30,,,,,Document date,Beverl',,,,,,,,,,,,,,
54 r - 54 r,675,,1375-12-02,,,,,Document date,Brompton' in Pikeringlith',,,,,,,,,,,,,,
54 r - 54 r,676,,1375-12-02,,,,,Memorandum date,Brompton' in Pikeringlith',,,,,,,,,,,,,,
54 r - 54 r,677,,1376-02-06,,,,,Document date,Cawode,,,,,,,,,,,,,,
54 r - 54 r,678,,1376-02-06,,,,,Document date,Cawode,,,,,,,,,,,,,,
54 r - 54 r,679,,1376-02-06,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
54 r - 54 r,680,,1376-02-18,,,,,Document date,Cawode,,,,,,,,,,,,,,
54 r - 54 r,681,,1376-02-18,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
54 r - 54 v,682,,1376-02-19,,,,,Document date,Seterington',,Date of document is presumably the same as the date of induction given within,1387-02-18,,,,,Document date,Cawode,,,,,
54 v - 54 v,683,,1376-02-22,,,,,Document date,Cawode,,,,,,,,,,,,,,
54 v - 54 v,684,,1371-08-01,,,,,Document date,Watton',,,,,,,,,,,,,,
54 v - 54 v,685,,1376-03-19,,,,,Document date,Cawode,,,,,,,,,,,,,,
54 v - 54 v,686,,1376-03-19,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
54 v - 54 v,687,,1380-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,
54 v - 54 v,688,,1380-08-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
54 v - 55 r,689,,1376-03-10,,,,,Document date,Beverl',,Dat of document is presumably the same as the date of meeting mentioned within,1376-03-04,,,,,Document date,Cawode,"1376-03-03, recited document 2, Cawode",,,,
55 r - 55 r,690,,1376-04-12,,,,,Document date,Cawode,,,,,,,,,,,,,,
55 r - 55 r,691,,1376-04-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
55 r - 55 r,692,,1376-04-14,,,,,Document date,Cawod,,,,,,,,,,,,,,
55 r - 55 r,693,,1376-06-19,,,,,Memorandum date,,,,,,,,,,,,,,,
55 r - 55 r,694,,1376-07-31,,,,,Document date,Cawode,,,,,,,,,,,,,,
55 r - 55 r,695,,1376-09-09,,,,,Document date,Cawode,,,,,,,,,,,,,,
55 r - 55 v,696,,1376-09-12,,,,,Document date,Cawod,,,,,,,,,,,,,,
55 v - 55 v,697,,1376-09-12,,,,,Document date,Cawod,,,,,,,,,,,,,,
55 v - 55 v,698,,1376-09-12,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
55 v - 55 v,699,,1375-06-30,Probate 1375-10-09,,,,Document date,Beverl',,,,,,,,,,,,,,
55 v - 55 v,700,,1377-01-02,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
55 v - 55 v,701,,1377-01-04,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
55 v - 55 v,702,,1377-01-04,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
55 v - 55 v,703,,1377-01-04,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
55 v - 55 v,704,,1377-01-04,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
55 v - 55 v,705,,[1377-01-00],,,,,Memorandum date,,,"Undated, but relating to institutions dated 2 January 1377",,,,,,,,,,,,
55 v - 55 v,706,,[1377-01-00],,,,,Memorandum date,,,"Undated, but relating to institutions dated 2 January 1377",,,,,,,,,,,,
56 r - 56 r,707,,1377-01-08,,,,,Document date,Thorp' iuxta Ebor',archbishop's manor,,,,,,,,,,,,,
56 r - 56 r,708,,1377-01-11,,,,,Document date,Thorp',,,,,,,,,,,,,,
56 r - 56 v,709,,1377-05-11,,,,,Document date,Cawode,,,,,,,,,,,,,,
56 v - 56 v,710,,1377-05-28,,,,,Document date,Cawode,,,,,,,,,,,,,,
56 v - 56 v,711,,1377-06-02,,,,,Memorandum date,,,,,,,,,,,,,,,
56 v - 56 v,712,,1377-06-23,,,,,Memorandum date,,,,,,,,,,,,,,,
56 v - 56 v,713,,1377-06-28,,,,,Memorandum date,,,,,,,,,,,,,,,
56 v - 57 r,714,,1377-05-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
57 r - 57 r,715,,1377-06-22,,,,,Document date,,,,,,,,,,,,,,,
57 v - 57 v,716,,1377-08-10,,,,,Document date,Cawode,,,,,,,,,,,,,,
57 v - 57 v,717,,1377-06-01,,,,,Document date,Bewik,,,,,,,,,,,,,,
57 v - 57 v,718,,1377-09-23,,,,,Event date,Cawode,archbishop's chancery,,,,,,,,,,,,,
57 v - 57 v,719,,1377-10-04,,,,,Document date,Cawode,,,,,,,,,,,,,,
57 v - 57 v,720,,1377-10-04,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
58 r - 58 r,721,,1377-1126,,,,,Document date,London,,,,,,,,,,,,,,
58 r - 58 r,722,,1377-10-24,,,,,Event date,"Swyna, at the high altar",parish church,,,,,,,,,,,,,
58 r - 58 r,723,,[1377-10-24],,,,,Document date,"[Swyna, at the high altar]",,"Notarial attestation, undated, but presumably made at the same time as the resignation to which it relates",,,,,,,,,,,,
58 r - 58 r,724,,[1377-10-07],,,,,Memorandum date,,,Document recited in return (entry 725),,,,,,,,,,,,
58 r - 58 r,725,,1377-11-01,,,,,Document date,chapter,Ebor',,1377-10-07,,,,,Document date,Cawode,,,,,
58 v - 58 v,726,,1378-01-20,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,
58 v - 58 v,727,,1378-01-20,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,
58 v - 58 v,728,,1378-03-05,,,,,Document date,Cawode,,,,,,,,,,,,,,
58 v - 58 v,729,,1378-04-15,,,,,Document date,Wilton',,,,,,,,,,,,,,
58 v - 58 v,730,,1377-05-18,,,,,Document date,Watton',,,,,,,,,,,,,,
59 r - 59 r,731,,1377-03-19,,,,,Document date,Flaynburgh,,,,,,,,,,,,,,
59 r - 59 r,732,,1378-06-19,,,,,Document date,Cawode,,,,,,,,,,,,,,
59 v - 59 v,733,,1378-00-00,,,,,Document date,Cawode,,No day or month given,,,,,,,,,,,,
59 v - 59 v,734,,1378-00-00,,,,,Memorandum date,Cawode,,No day or month given,,,,,,,,,,,,
59 v - 59 v,735,,1378-07-18,,,,,Document date,Cawode,,,,,,,,,,,,,,
59 v - 59 v,736,,1375-05-21,,,,,Document date,Cawode,,,,,,,,,,,,,,
59 v - 59 v,737,,1377-10-00,,,,,Document date,Cawode,,No day given,,,,,,,,,,,,
59 v - 59 v,738,,1377-10-00,,,,,Memorandum date,Cawode,,No day given,,,,,,,,,,,,
60 r - 60 r,739,,1379-06-18,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,740,,1379-06-18,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,741,,1379-09-30,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,742,,1379-09-28,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,743,,1379-09-28,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,744,,1379-10-07,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,745,,1379-10-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,746,,1379-10-17,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,747,,1379-10-17,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,748,,1379-10-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,749,,1379-10-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 r - 60 r,750,,1379-11-28,,,,,Document date,Rypon',,,1379-11-12,,,,,Event date,Bridlyngton',monastery,,,,
60 v - 60 v,751,,1379-12-14,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,752,,1379-12-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,753,,1379-00-00,,,,,Document date,,,,,,,,,,,,,,,
60 v - 60 v,754,,1380-05-16,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,
60 v - 60 v,755,,1380-05-16,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,
60 v - 60 v,756,,1380-05-19,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,757,,[1380-05-19],,,,,Note date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,758,,1380-05-27,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,759,,1380-06-02,,,,,Document date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,760,,1380-06-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
60 v - 60 v,761,,1380-06-01,,,,,Document date,Cawode,,,,,,,,,,,,,,
61 r - 61 r,762,,1380-06-27,,,,,Document date,Thorp',archbishop's manor,,,,,,,,,,,,,
61 r - 62 r,763,,1380-08-06,,,,,Document date,Cawode,,,,,,,,,,,,,,
62 r - 62 r,764,,1380-11-09,,,,,Document date,Novumcastrum super Tyn',,,,,,,,,,,,,,
62 r - 62 r,765,,1380-11-09,,,,,Memorandum date,Novumcastrum super Tyn',,,,,,,,,,,,,,
62 r - 62 r,766,,1381-01-11,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
62 r - 62 r,767,,1381-01-11,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
62 r - 62 r,768,,1381-02-06,,,,,Document date,Cawode,,,,,,,,,,,,,,
62 v - 62 v,769,,[0000-00-00],,,,,Document date,,,,[0000-00-00],,,,,,,,,1376-06-28,"apud villam novam, Avenion' dioc'",
62 v - 62 v,770,,1379-03-22,,,,,Document date,Fyrsmersk',,,,,,,,,,,,,,
62 v - 62 v,771,,1381-03-21,,,,,Memorandum date,,,,,,,,,,,,,,,
62 v - 62 v,772,,1381-03-29,,,,,Document date,Beverlac',archbishop's manor,,,,,,,,,,,,,
62 v - 62 v,773,,1381-03-29,,,,,Memorandum date,Beverlac',archbishop's manor,,,,,,,,,,,,,
62 v - 62 v,774,,1382-03-04,,,,,Memorandum date,,,,,,,,,,,,,,,
